9:1.0000
8:1.0000
7:1.0000
6:1.0000
5:1.0000
4:1.0000
3:1.0000
2:1.0000
12:1.0000
11:1.0000
10:1.0000
1:1.0000
8,9:1.0000
7,9:1.0000
6,9:1.0000
5,9:1.0000
4,9:1.0000
3,9:1.0000
2,9:1.0000
12,9:1.0000
11,9:1.0000
10,9:1.0000
1,9:1.0000
7,8:1.0000
6,8:1.0000
5,8:1.0000
4,8:1.0000
3,8:1.0000
2,8:1.0000
12,8:1.0000
11,8:1.0000
10,8:1.0000
1,8:1.0000
6,7:1.0000
5,7:1.0000
4,7:1.0000
3,7:1.0000
2,7:1.0000
12,7:1.0000
11,7:1.0000
10,7:1.0000
1,7:1.0000
5,6:1.0000
4,6:1.0000
3,6:1.0000
2,6:1.0000
12,6:1.0000
11,6:1.0000
10,6:1.0000
1,6:1.0000
4,5:1.0000
3,5:1.0000
2,5:1.0000
12,5:1.0000
11,5:1.0000
10,5:1.0000
1,5:1.0000
3,4:1.0000
2,4:1.0000
12,4:1.0000
11,4:1.0000
10,4:1.0000
1,4:1.0000
2,3:1.0000
12,3:1.0000
11,3:1.0000
10,3:1.0000
1,3:1.0000
12,2:1.0000
11,2:1.0000
10,2:1.0000
1,2:1.0000
11,12:1.0000
10,12:1.0000
1,12:1.0000
10,11:1.0000
1,11:1.0000
1,10:1.0000
7,8,9:1.0000
6,8,9:1.0000
5,8,9:1.0000
4,8,9:1.0000
3,8,9:1.0000
2,8,9:1.0000
12,8,9:1.0000
11,8,9:1.0000
10,8,9:1.0000
1,8,9:1.0000
6,7,9:1.0000
5,7,9:1.0000
4,7,9:1.0000
3,7,9:1.0000
2,7,9:1.0000
12,7,9:1.0000
11,7,9:1.0000
10,7,9:1.0000
1,7,9:1.0000
5,6,9:1.0000
4,6,9:1.0000
3,6,9:1.0000
2,6,9:1.0000
12,6,9:1.0000
11,6,9:1.0000
10,6,9:1.0000
1,6,9:1.0000
4,5,9:1.0000
3,5,9:1.0000
2,5,9:1.0000
12,5,9:1.0000
11,5,9:1.0000
10,5,9:1.0000
1,5,9:1.0000
3,4,9:1.0000
2,4,9:1.0000
12,4,9:1.0000
11,4,9:1.0000
10,4,9:1.0000
1,4,9:1.0000
2,3,9:1.0000
12,3,9:1.0000
11,3,9:1.0000
10,3,9:1.0000
1,3,9:1.0000
12,2,9:1.0000
11,2,9:1.0000
10,2,9:1.0000
1,2,9:1.0000
11,12,9:1.0000
10,12,9:1.0000
1,12,9:1.0000
10,11,9:1.0000
1,11,9:1.0000
1,10,9:1.0000
6,7,8:1.0000
5,7,8:1.0000
4,7,8:1.0000
3,7,8:1.0000
2,7,8:1.0000
12,7,8:1.0000
11,7,8:1.0000
10,7,8:1.0000
1,7,8:1.0000
5,6,8:1.0000
4,6,8:1.0000
3,6,8:1.0000
2,6,8:1.0000
12,6,8:1.0000
11,6,8:1.0000
10,6,8:1.0000
1,6,8:1.0000
4,5,8:1.0000
3,5,8:1.0000
2,5,8:1.0000
12,5,8:1.0000
11,5,8:1.0000
10,5,8:1.0000
1,5,8:1.0000
3,4,8:1.0000
2,4,8:1.0000
